0,1,2,3,4,5,6,7,8
"('age', 32)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.2)","('down_payment', 28000.0)","('apartment_price', 220000.0)","('loan_term_years', 15)","('monthly_expenses', 2000.0)","('credit_score', 680)","('employment_status', 'Unemployed')"
"('age', 30)","('monthly_income', 4000.0)","('apartment_interest_rate', 3.9)","('down_payment', 25000.0)","('apartment_price', 200000.0)","('loan_term_years', 25)","('monthly_expenses', 1500.0)","('credit_score', 700)","('employment_status', 'Part-Time')"
"('age', 35)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 32000.0)","('apartment_price', 270000.0)","('loan_term_years', 20)","('monthly_expenses', 2200.0)","('credit_score', 750)","('employment_status', 'Freelancer')"
"('age', 25)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 30)","('monthly_expenses', 2500.0)","('credit_score', 720)","('employment_status', 'Contractor')"
"('age', 42)","('monthly_income', 6200.0)","('apartment_interest_rate', 4.2)","('down_payment', 28000.0)","('apartment_price', 230000.0)","('loan_term_years', 25)","('monthly_expenses', 1800.0)","('credit_score', 680)","('employment_status', 'Consultant')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.8)","('down_payment', 35000.0)","('apartment_price', 300000.0)","('loan_term_years', 15)","('monthly_expenses', 2800.0)","('credit_score', 700)","('employment_status', 'Dancer')"
"('age', 35)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 32000.0)","('apartment_price', 270000.0)","('loan_term_years', 20)","('monthly_expenses', 2200.0)","('credit_score', 690)","('employment_status', 'Zookeeper')"
"('age', 38)","('monthly_income', 5800.0)","('apartment_interest_rate', 4.3)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 30)","('monthly_expenses', 2000.0)","('credit_score', 670)","('employment_status', 'Astronomer')"
"('age', 30)","('monthly_income', 4500.0)","('apartment_interest_rate', 4.2)","('down_payment', 25000.0)","('apartment_price', 200000.0)","('loan_term_years', 25)","('monthly_expenses', 1800.0)","('credit_score', 650)","('employment_status', 'Beekeeper')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.8)","('down_payment', 35000.0)","('apartment_price', 300000.0)","('loan_term_years', 15)","('monthly_expenses', 2500.0)","('credit_score', 720)","('employment_status', 'Circus Performer')"
"('age', 25)","('monthly_income', 4000.0)","('apartment_interest_rate', 4.5)","('down_payment', 20000.0)","('apartment_price', 180000.0)","('loan_term_years', 20)","('monthly_expenses', 1500.0)","('credit_score', 690)","('employment_status', 'Guitarist')"
"('age', 28)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.0)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 30)","('monthly_expenses', 2000.0)","('credit_score', 680)","('employment_status', 'Astronaut')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.2)","('down_payment', 25000.0)","('apartment_price', 220000.0)","('loan_term_years', 25)","('monthly_expenses', 1800.0)","('credit_score', 700)","('employment_status', 'Zookeeper')"
"('age', 42)","('monthly_income', 7500.0)","('apartment_interest_rate', 4.8)","('down_payment', 35000.0)","('apartment_price', 280000.0)","('loan_term_years', 15)","('monthly_expenses', 2500.0)","('credit_score', 720)","('employment_status', 'Firefighter')"
"('age', 45)","('monthly_income', 8000.0)","('apartment_interest_rate', 5.0)","('down_payment', 40000.0)","('apartment_price', 300000.0)","('loan_term_years', 20)","('monthly_expenses', 3000.0)","('credit_score', 690)","('employment_status', 'Professional Wrestler')"
"('age', 29)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 30)","('monthly_expenses', 2000.0)","('credit_score', 680)","('employment_status', 'Circus Performer')"
"('age', 35)","('monthly_income', 6200.0)","('apartment_interest_rate', 4.2)","('down_payment', 32000.0)","('apartment_price', 260000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 700)","('employment_status', 'Zookeeper')"
"('age', 42)","('monthly_income', 7500.0)","('apartment_interest_rate', 4.8)","('down_payment', 35000.0)","('apartment_price', 280000.0)","('loan_term_years', 15)","('monthly_expenses', 2500.0)","('credit_score', 720)","('employment_status', 'Professional Napper')"
"('age', 45)","('monthly_income', 8000.0)","('apartment_interest_rate', 4.0)","('down_payment', 40000.0)","('apartment_price', 300000.0)","('loan_term_years', 20)","('monthly_expenses', 3000.0)","('credit_score', 690)","('employment_status', 'Professional Slacker')"
"('age', 28)","('monthly_income', 5500.0)","('apartment_interest_rate', 3.8)","('down_payment', 28000.0)","('apartment_price', 230000.0)","('loan_term_years', 30)","('monthly_expenses', 2500.0)","('credit_score', 680)","('employment_status', 'Professional Cat Whisperer')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.5)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 25)","('monthly_expenses', 2700.0)","('credit_score', 700)","('employment_status', 'Professional Pancake Flipper')"
"('age', 32)","('monthly_income', 6200.0)","('apartment_interest_rate', 4.2)","('down_payment', 32000.0)","('apartment_price', 260000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 710)","('employment_status', 'Professional Ninja')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.0)","('down_payment', 35000.0)","('apartment_price', 290000.0)","('loan_term_years', 20)","('monthly_expenses', 3000.0)","('credit_score', 720)","('employment_status', 'Professional Bubbleologist')"
